Var T1-For All (FTS);Var T1-For Any (FTS);Var T1-For All (Index);Var T1-For Any (Index);Var T2-For All (FTS);Var T2-For Any (FTS);Var T2-For All (Index);Var T2-For Any (Index);Var TG-For All (FTS);Var TG-For Any (FTS);Var TG-For All (Index);Var TG-For Any (Index);Var Valid Groups-For All (FTS);Var Valid Groups-For Any (FTS);Var Valid Groups-For All (Index);Var Valid Groups-For Any (Index);Var Attributes of T2-For All (FTS);Var Attributes of T2-For Any (FTS);Var Attributes of T2-For All (Index);Var Attributes of T2-For Any (Index);Var Groups Distribution-For All (FTS);Var Groups Distribution-For Any (FTS);Var Groups Distribution-For All (Index);Var Groups Distribution-For Any (Index);
0,3789329;0,3772024;10,379000000000001;10,1482;0,35767329999999997;0,35752710000000004;8,7608;8,8387;0,3573201;0,3575237;10,047999999999998;9,900300000000001;0,35588429999999993;0,35695000000000005;8,6519;9,930600000000002;0,2230868;0,2253137;7,571700000000001;8,832999999999998;0,3584842100000001;0,35784544999999995;9,626159999999999;9,765699999999999;
0,7570385999999999;0,7528529;18,8858;19,7435;0,7155346;0,7098681;17,1213;17,3332;0,3587464000000001;0,358432;10,2223;9,944899999999999;0,35832129999999995;0,35923269999999996;9,1842;8,3545;0,492338;0,4913683;12,4715;12,112099999999998;0,3586177;0,35807866;9,299850000000001;9,64306;
1,103275;1,0708659999999999;24,7746;22,7557;1,062171;1,062506;25,148600000000002;24,538999999999998;0,3578169;0,3576146;9,418;8,684699999999998;0,3604203;0,35988950000000003;9,6078;8,132;0,7646846;0,7706937;14,0988;14,7523;0,35837949;0,35849612;9,71175;9,452569999999998;
1,4263470000000003;1,4260570000000001;30,1803;30,5915;1,4145499999999998;1,4178149999999998;32,052299999999995;31,402399999999997;0,35828550000000003;0,3579806;9,3425;9,5516;0,35817540000000003;0,35759630000000003;9,7943;9,285400000000001;1,042443;1,0398299999999998;20,7328;19,9742;NaN;NaN;NaN;NaN;
1,7803689999999999;1,7901900000000002;40,9311;41,130399999999995;1,7691050000000001;1,7787670000000002;40,909099999999995;42,976499999999994;0,3578194;0,3566595;9,242099999999999;9,3183;0,3579617;0,3584143000000001;8,472700000000001;9,663099999999998;1,315754;1,3265810000000002;24,326300000000003;24,311100000000003;NaN;NaN;NaN;NaN;
2,160745;2,1381810000000003;52,2208;51,908500000000004;2,1107229999999997;2,111521;47,038199999999996;46,742700000000006;0,3592531;0,3620158;10,0121;9,5458;0,35738250000000005;0,35842620000000003;9,8105;9,308399999999999;1,597767;1,595027;24,965600000000002;24,7005;NaN;NaN;NaN;NaN;
2,494919;2,4989879999999998;52,844;54,2353;2,5085439999999997;2,461109;55,336800000000004;56,19299999999999;0,35877560000000003;0,3566389;9,778199999999998;9,6087;0,36122829999999995;0,3585281;9,216899999999999;8,5096;1,874071;1,8779109999999999;32,1559;32,415800000000004;NaN;NaN;NaN;NaN;
2,861043;2,855905;65,85640000000001;65,6045;2,823552;2,818566;64,0897;62,77579999999999;0,3593252;0,3624876;8,6896;8,871;0,3623811;0,35765900000000006;8,632900000000003;8,928000000000003;2,162219;2,169392;34,8732;34,7427;NaN;NaN;NaN;NaN;
3,194617;3,2005310000000002;69,2081;68,23780000000002;3,1737430000000004;3,193847;70,74560000000001;69,7249;0,3566624;0,36305029999999994;9,034699999999997;8,949200000000001;0,35773629999999995;0,3572412;10,0697;10,4454;2,4717930000000004;2,4497430000000002;39,3729;38,9624;NaN;NaN;NaN;NaN;
3,560716;3,553081;71,542;72,6732;3,515428;3,5154799999999993;75,92819999999999;76,4525;0,35648409999999997;0,35749660000000005;8,324200000000001;8,7059;0,359174;0,3566507;9,9398;9,4475;2,729966;2,7297830000000003;42,7385;44,120900000000006;NaN;NaN;NaN;NaN;
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,3573557;0,3567027;9,7251;9,245099999999999;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
